start,end,text,speaker
00:00:01.052,00:00:02.593,"9-1-1, please fire.",SPEAKER_00
00:00:02.613,00:00:04.554,"9-1-1, my husband's having a heart attack.",SPEAKER_00
00:00:05.134,00:00:07.476,"Brooke, we're going to start CPR on him, okay?",SPEAKER_00
00:00:07.535,00:00:08.596,I'm going to tell you what to do.,SPEAKER_00
00:00:08.756,00:00:09.356,Okay.,SPEAKER_00
00:00:09.737,00:00:10.657,Are you right next to him?,SPEAKER_00
00:00:10.837,00:00:11.477,Yeah.,SPEAKER_00
00:00:11.497,00:00:13.019,Put him flat on the floor on his back.,SPEAKER_00
00:00:13.419,00:00:13.739,Okay.,SPEAKER_00
00:00:13.999,00:00:14.980,Expose his chest.,SPEAKER_00
00:00:15.740,00:00:16.519,Expose his chest.,SPEAKER_00
00:00:16.559,00:00:17.521,Kneel by his side.,SPEAKER_00
00:00:17.981,00:00:18.580,Okay.,SPEAKER_00
00:00:20.301,00:00:20.681,Okay.,SPEAKER_00
00:00:20.922,00:00:21.222,Okay.,SPEAKER_00
00:00:22.643,00:00:26.045,"Put the heel of your hand in the center of his chest, right between the nipples.",SPEAKER_00
00:00:26.932,00:00:33.274,"Push down firmly with only the heels of your hands, 2 inches, and do it 30 times like you're pumping the chest.",SPEAKER_00
00:00:33.314,00:00:34.314,I'm going to count.,SPEAKER_00
00:00:34.375,00:00:36.534,"I want you to go this fast, as fast as I'm counting.",SPEAKER_00
00:00:36.554,00:00:36.534,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20.",UNKNOWN
00:00:48.969,00:00:50.131,"21, 22, 23, 24, 25, 26, 27, 28, 29, 30.",SPEAKER_00
00:00:49.350,00:00:50.131,Start again.,SPEAKER_00
00:00:50.191,00:00:50.131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30.",UNKNOWN
00:00:52.192,00:00:52.692,Start again.,SPEAKER_00
00:00:52.713,00:00:52.692,"1, 2, 3, 4,",UNKNOWN
00:01:18.971,00:01:22.215,"5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30.",SPEAKER_00
00:01:20.793,00:01:22.215,I know this is hard.,SPEAKER_00
00:01:22.614,00:01:25.576,"I want you to take a deep breath, stop crying, and start again, okay?",SPEAKER_00
00:01:25.596,00:01:25.576,"1, 2, 3, 4, 5, 6, 7, 8, 9,",UNKNOWN
00:01:44.829,00:01:47.533,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30.",SPEAKER_00
00:01:46.492,00:01:47.533,"Okay, start again.",SPEAKER_00
00:01:47.552,00:01:47.533,"1, 2, 3, 4, 5, 6,",UNKNOWN
00:02:04.387,00:02:10.972,"7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30.",SPEAKER_00
00:02:07.509,00:02:10.972,"Is he breathing, moving, or coughing at all?",SPEAKER_00
00:02:10.991,00:02:12.552,"No, he's just gasping for air.",SPEAKER_00
00:02:12.752,00:02:13.854,"Okay, just keep doing it.",SPEAKER_00
00:02:13.894,00:02:15.574,Go two inches deep.,SPEAKER_00
00:02:15.694,00:02:16.436,Let's start again.,SPEAKER_00
00:02:16.455,00:02:16.436,"1, 2, 3, 4, 5,",UNKNOWN
00:02:43.961,00:02:47.623,"26, 27, 28, 29, 30.",SPEAKER_00
00:02:44.742,00:02:47.623,Are they inside?,SPEAKER_00
00:02:47.824,00:02:48.524,"Yes, hurry.",SPEAKER_00
00:02:48.884,00:02:50.324,"Keep going until they take over, okay?",SPEAKER_00
00:02:50.384,00:02:50.525,Hurry.,SPEAKER_00
00:02:50.544,00:02:50.525,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12.",UNKNOWN
00:02:52.346,00:02:54.826,"Okay, is the paramedics taking over?",SPEAKER_00
00:02:54.847,00:02:55.068,Yes.,SPEAKER_00
