start,end,text,speaker
00:00:00.000,00:00:03.200,So we are going to facilitate a trauma scenario now.,UNKNOWN
00:00:03.200,00:00:06.200,So you can see we have a mannequin on the floor with blankets.,UNKNOWN
00:00:06.200,00:00:08.199,The blankets are supposed to be snow.,UNKNOWN
00:00:08.199,00:00:15.800,"It's not really snow, but we're hoping it's just enough to get our participants in that mindset to go with it.",UNKNOWN
00:00:15.800,00:00:18.100,"Okay, so these are the vital signs.",UNKNOWN
00:00:18.100,00:00:25.400,"And really the point of this scenario is for our responders to respond to the scene, perform an assessment.",UNKNOWN
00:00:25.400,00:00:28.400,And what they're going to find is that the patient has a pneumo.,UNKNOWN
00:00:28.399,00:00:30.000,So I'll show you that again.,UNKNOWN
00:00:30.000,00:00:34.799,Clicking on the lungs and then clicking on pneumothorax.,UNKNOWN
00:00:34.799,00:00:36.399,I can then choose which side.,UNKNOWN
00:00:36.399,00:00:40.399,So I'm going to give them a right side of pneumo and then activate.,UNKNOWN
00:00:40.399,00:00:44.000,There might be some other injuries that are hard to simulate using the mannequin.,UNKNOWN
00:00:44.000,00:00:53.000,"So as the facilitator, I will be verbalizing what those are if the participants actually assess them or look for those things.",UNKNOWN
00:00:53.000,00:00:54.000,Okay.,UNKNOWN
00:00:54.000,00:00:56.000,Truck 53.,UNKNOWN
00:00:56.000,00:01:02.200,"27-year-old male, ATV rollover, no helmet, county road 1643.",UNKNOWN
00:01:02.200,00:01:04.200,"Time now, 1430.",UNKNOWN
00:01:14.200,00:01:15.200,Hello.,UNKNOWN
00:01:15.200,00:01:18.200,"All right, BSI.",UNKNOWN
00:01:18.200,00:01:19.200,Scene safe.,UNKNOWN
00:01:20.200,00:01:24.200,It's like we have a 27-year-old male.,UNKNOWN
00:01:24.200,00:01:25.200,Unresponsive.,UNKNOWN
00:01:25.200,00:01:26.200,"Sir, can you hear me?",UNKNOWN
00:01:26.200,00:01:28.200,My name is Hans with the Andalin Service.,UNKNOWN
00:01:28.200,00:01:29.200,"My partner, Ted.",UNKNOWN
00:01:29.200,00:01:30.200,"Can you hear me, sir?",UNKNOWN
00:01:30.200,00:01:31.200,Can you hear me?,UNKNOWN
00:01:31.200,00:01:32.200,Okay.,UNKNOWN
00:01:32.200,00:01:33.200,Unresponsive.,UNKNOWN
00:01:33.200,00:01:34.200,Let's get to the vitals here.,UNKNOWN
00:01:34.200,00:01:36.200,I'm going to start checking for any injuries.,UNKNOWN
