start,end,text,speaker
00:01:29.462,00:01:31.965,"Go ahead, man.",SPEAKER_01
00:01:32.004,00:01:34.748,Check connector and electrodes.,SPEAKER_03
00:01:35.367,00:01:35.868,No gag.,SPEAKER_03
00:01:36.828,00:01:39.512,"OK, read this for me.",SPEAKER_03
00:01:39.632,00:01:39.852,Ready?,UNKNOWN
00:01:39.912,00:01:40.391,"Ready, ready.",UNKNOWN
00:01:40.512,00:01:41.052,"One, two, three.",SPEAKER_02
00:01:41.253,00:01:43.155,Check connector and electrodes.,UNKNOWN
00:01:43.215,00:01:47.138,Check connector and electrodes.,UNKNOWN
00:01:47.158,00:01:52.221,"If you open it in a minute, then we'll do it.",UNKNOWN
00:01:57.385,00:01:58.631,You got pre-charged and all that?,SPEAKER_00
