start,end,text,speaker
00:00:30.000,00:00:36.000,Oh God!,UNKNOWN
00:00:43.859,00:00:46.659,He's there!,UNKNOWN
00:00:46.659,00:00:49.659,Nunuuuuuubé!,UNKNOWN
00:00:49.820,00:00:50.840,Yeah!,UNKNOWN
00:00:51.019,00:00:55.539,Now I'm gonna show you what my damn favorite swimming is!,UNKNOWN
00:00:55.539,00:00:57.299,Soon as I even see proper chips in here.,UNKNOWN
00:00:57.299,00:00:58.420,Okay!,UNKNOWN
00:00:58.420,00:01:02.420,1-3-2-1,UNKNOWN
00:01:02.420,00:01:06.420,2-3-1,UNKNOWN
00:01:06.420,00:01:10.420,4-3-1,UNKNOWN
00:01:10.420,00:01:14.420,4-3-1,UNKNOWN
00:01:14.420,00:01:18.420,4-3-1,UNKNOWN
00:01:18.420,00:01:22.420,4-3-1,UNKNOWN
00:01:22.420,00:01:26.120,LAwhati,UNKNOWN
00:01:41.560,00:01:44.960,Lotta,UNKNOWN
00:01:44.959,00:01:50.939,7 Mango Salad,UNKNOWN
00:01:50.959,00:01:56.919,1.5 Tbsp of fresh water,UNKNOWN
00:01:56.959,00:02:02.939,3 oz away,UNKNOWN
00:02:03.959,00:02:10.859,1 1 slいました,UNKNOWN
00:02:10.860,00:02:15.360,,UNKNOWN
00:02:18.860,00:02:19.440,...,UNKNOWN
00:02:19.440,00:02:20.960,...,UNKNOWN
00:02:21.700,00:02:24.060,"OK, ...",UNKNOWN
00:02:25.760,00:02:29.160,...,UNKNOWN
00:02:33.960,00:02:36.960,...,UNKNOWN
00:02:36.960,00:02:38.760,...,UNKNOWN
00:02:40.860,00:02:42.040,tdur painful,UNKNOWN
00:02:42.760,00:02:43.280,2,UNKNOWN
00:02:52.520,00:02:54.000,uno,UNKNOWN
00:03:00.560,00:03:01.400,trying to be cool,UNKNOWN
00:03:05.360,00:03:06.160,yoo,UNKNOWN
00:03:09.000,00:03:10.000,ooooooo,UNKNOWN
00:03:11.760,00:03:13.180,In28,UNKNOWN
00:03:16.940,00:03:17.440,I am van,UNKNOWN
00:03:17.440,00:03:18.900,I am van,UNKNOWN
00:03:24.900,00:03:27.340,I just,UNKNOWN
00:03:32.840,00:03:34.840,I just,UNKNOWN
00:04:34.839,00:04:38.619,dyesus,UNKNOWN
00:04:47.099,00:04:47.599,dr,UNKNOWN
00:04:47.939,00:04:49.199,guff,UNKNOWN
00:04:49.219,00:04:49.919,Kaw Okay,UNKNOWN
00:04:49.959,00:04:53.099,코,UNKNOWN
00:04:53.120,00:04:54.199,Fluke,UNKNOWN
00:04:54.199,00:04:54.639,sc,UNKNOWN
00:04:54.659,00:04:55.339,tree,UNKNOWN
00:04:55.359,00:04:56.659,True,UNKNOWN
00:04:56.679,00:04:57.879,chip,UNKNOWN
00:04:57.879,00:04:58.620,ao,UNKNOWN
00:04:58.639,00:04:59.859,color Demand,UNKNOWN
