start,end,text,speaker
00:00:30.000,00:00:32.000,1.5kg,UNKNOWN
00:00:44.000,00:00:46.000,1kg,UNKNOWN
00:00:46.000,00:00:48.000,1kg,UNKNOWN
00:00:48.000,00:00:50.000,1kg,UNKNOWN
00:00:50.000,00:00:52.000,1kg,UNKNOWN
00:00:52.000,00:00:54.000,1kg,UNKNOWN
00:00:54.000,00:00:56.000,1kg,UNKNOWN
00:00:56.000,00:00:58.000,1kg,UNKNOWN
00:00:58.000,00:00:59.000,1kg,UNKNOWN
00:00:59.000,00:01:01.000,1kg,UNKNOWN
00:01:01.000,00:01:03.000,1kg,UNKNOWN
00:01:03.000,00:01:05.000,1kg,UNKNOWN
00:01:07.000,00:01:09.000,1kg,UNKNOWN
00:01:09.000,00:01:11.000,1kg,UNKNOWN
00:01:13.000,00:01:15.000,1kg,UNKNOWN
00:01:15.000,00:01:17.000,3kg,UNKNOWN
00:01:17.000,00:01:19.000,1kg,UNKNOWN
00:01:21.000,00:01:23.000,1kg,UNKNOWN
00:01:23.000,00:01:25.000,1kg,UNKNOWN
00:01:25.000,00:01:27.000,2kg,UNKNOWN
00:01:27.000,00:01:29.000,1kg,UNKNOWN
00:01:29.000,00:01:31.000,1kg,UNKNOWN
00:01:31.000,00:01:33.000,2kg,UNKNOWN
00:01:33.000,00:01:35.000,1kg,UNKNOWN
00:01:35.000,00:01:37.000,1kg,UNKNOWN
00:01:37.000,00:01:39.000,1kg,UNKNOWN
00:01:39.000,00:01:41.000,1kg,UNKNOWN
00:01:41.000,00:01:43.000,3kg,UNKNOWN
00:01:43.000,00:01:45.000,2kg,UNKNOWN
00:01:45.000,00:01:47.000,1kg,UNKNOWN
00:01:47.000,00:01:49.000,1kg,UNKNOWN
00:01:49.000,00:01:51.000,2kg,UNKNOWN
00:01:51.000,00:01:53.000,2kg,UNKNOWN
00:01:53.000,00:01:55.000,2kg,UNKNOWN
00:01:55.000,00:02:07.159,Q3Ll,UNKNOWN
00:02:25.000,00:02:32.000,...,UNKNOWN
00:02:32.000,00:02:37.000,...,UNKNOWN
00:02:37.000,00:02:40.000,...,UNKNOWN
00:02:40.000,00:02:43.000,...,UNKNOWN
00:02:43.000,00:02:48.000,...,UNKNOWN
00:02:48.000,00:02:54.000,...,UNKNOWN
00:02:54.000,00:03:01.000,...,UNKNOWN
00:03:01.000,00:03:08.000,...,UNKNOWN
00:03:08.000,00:03:15.000,...,UNKNOWN
00:03:15.000,00:03:21.000,...,UNKNOWN
00:03:21.000,00:03:28.000,...,UNKNOWN
00:03:28.000,00:03:35.000,...,UNKNOWN
00:03:35.000,00:03:42.000,...,UNKNOWN
00:03:42.000,00:03:48.000,...,UNKNOWN
00:03:48.000,00:03:55.000,...,UNKNOWN
00:03:55.000,00:04:02.000,...,UNKNOWN
00:04:02.000,00:04:07.000,...,UNKNOWN
00:04:07.000,00:04:13.000,...,UNKNOWN
00:04:13.000,00:04:17.000,...,UNKNOWN
00:04:17.000,00:04:24.000,...,UNKNOWN
00:04:24.000,00:04:31.000,...,UNKNOWN
00:04:31.000,00:04:36.000,...,UNKNOWN
00:04:36.000,00:04:41.000,...,UNKNOWN
00:04:41.000,00:04:46.000,...,UNKNOWN
00:04:46.000,00:04:53.000,...,UNKNOWN
