start,end,text,speaker
00:00:00.217,00:00:02.839,So we are going to facilitate a trauma scenario now.,SPEAKER_00
00:00:03.319,00:00:06.262,So you can see we have a mannequin on the floor with blankets.,SPEAKER_00
00:00:06.283,00:00:07.884,The blankets are supposed to be snow.,SPEAKER_00
00:00:08.224,00:00:15.092,"It's not really snow, but we're hoping it's just enough to get our participants in that mindset to go with it.",SPEAKER_00
00:00:15.913,00:00:17.614,"Okay, so these are the vital signs.",SPEAKER_00
00:00:18.256,00:00:25.042,"And really the point of this scenario is for our responders to respond to the scene, perform an assessment.",SPEAKER_00
00:00:25.503,00:00:29.126,And what they're going to find is that the patient has a pneumo.,SPEAKER_00
00:00:29.393,00:00:30.074,I'll show you that again.,SPEAKER_00
00:00:30.114,00:00:36.362,"Clicking on the lungs, and then clicking on pneumothorax, I can then choose which side.",SPEAKER_00
00:00:36.563,00:00:39.447,"So I'm going to give them a right-sided pneumo, and then activate.",SPEAKER_00
00:00:40.527,00:00:44.152,There might be some other injuries that are hard to simulate using the mannequin.,SPEAKER_00
00:00:44.192,00:00:52.064,"So as the facilitator, I will be verbalizing what those are if the participants actually assess them or look for those things.",SPEAKER_00
00:00:53.265,00:00:53.445,OK.,SPEAKER_00
00:00:54.286,00:00:55.148,Chart 53.,SPEAKER_00
00:00:56.173,00:01:00.500,"27-year-old male, ATV rollover, no helmet, County Road 1643.",SPEAKER_00
00:01:00.560,00:01:01.401,"Time now, 1430.",SPEAKER_00
00:01:01.521,00:01:04.004,"Roger that, we're on it.",SPEAKER_00
00:01:04.284,00:01:15.060,Hello!,SPEAKER_01
00:01:16.542,00:01:18.944,"Alright, DSI, scene safe.",SPEAKER_01
00:01:21.388,00:01:24.072,Looks like we have a 27-year-old male.,SPEAKER_01
00:01:25.790,00:01:26.611,Unresponsive.,SPEAKER_01
00:01:26.631,00:01:27.311,"Sir, can you hear me?",SPEAKER_01
00:01:27.331,00:01:28.875,My name is Hans with the ambulance service.,SPEAKER_01
00:01:28.894,00:01:29.635,"My partner, Ted.",SPEAKER_01
